Show,Gigabytes,Seasons,AveragePerSeason,currently_on_air
Parenthood,29,6,4.833,6,0
Parks and Recreation,26,7,3.714,7,0
Project Runway,9.1,2,4.550,15-0,1
Psych,31,8,3.875,8,0
Reba,11,6,1.833,6,0
Red Dwarf,18,11,1.636,11,1
Red vs. Blue- The Blood Gulch Chronicles,6.5,9,.722,9,1
Rick and Morty,2.9,3,.966,3,1
Robot Chicken,11,8,1.375,8,1
Rooster Teeth,.750,1,.750,1,1
Sealab 2021,1.3,4,.325,4,0
Seinfeld,42,9,4.666,9,0
Sex and the City,22,6,3.666,6,0
Sister Wives,24,6,4.000,8,1
Smallville,75,10,7.500,10,0
Sons of Anarchy,43,7,6.142,7,0
South Park,17,20,.850,21,1
Space Ghost Coast to Coast,8.9,8,1.112,8,0
Stargate SG1,40,10,4.000,10,0
Star Wars Rebels,11,3,3.666,3-0,1
Star Wars the Clone Wars,22,5,4.400,6,0
Stranger Things,2.5,1,2.500,2,1
Supergirl,12,2,6.000,3,1
Superjail,4.1,4,1.025,4,0
Superman The Animated Series,3.8,4,.950,4,0
Teenage Mutant Ninja Turtles (1987),16,10,1.600,10,0
Teenage Mutant Ninja Turtles (2003),11,7,1.571,7,0
Teenage Mutant Ninja Turtles (2012),22,5,4.400,5,1
The Adventures of Brisco County Jr,5.3,1,5.300,1,0
The Big Bang Theory,38,10,3.800,11,1
The Blacklist,19,4,4.750,5,1
The Brak Show,1.8,3,.600,3,0
The Crown,2.7,1,2.700,1,1
The Dresden Files,4.2,1,4.200,1,0
The Flash,17,3,5.666,4,1
The Fresh Prince of Bel-Air,16,6,2.666,6,0
The Goldbergs,15,4,3.750,4,1
The Guild,4.7,6,.783,6,1
The Handmaid's Tale,1.5,1,1.500,1,1
The IT Crowd,4.1,4,1.025,4,0
The Legend of Korra,5.1,4,1.275,4,0
The L Word,27,6,4.500,6,0
The Man in the High Castle,3.1,2,1.550,2,1
The Mentalist,47,7,6.714,7,0
The Mindy Project,11,3,3.666,5,1
The OC,21,4,5.250,4,0
The Office,35,9,3.888,9,0
The Red Green Show,52,15,3.466,14,0
The Simpsons,36,29,1.241,29,1
The Sing Off,19,4,4.750,4,0
The Tick (1994),2.3,3,.766,3,0
The Tick (2001),.903,1,.903,1,0
The Venture Bros,13,6,2.166,6,1
The Walking Dead,33,7,4.714,7-0,1
The White Princess,1.5,1,1.500,1,1
The Young Pope,2.5,1,2.500,1,1
True Blood,32,7,4.571,7,0
Ugly Americans,2.0,2,1.000,2,0
Veep,13,6,2.166,6,1
Veronica Mars,22,3,7.333,3,0
Vikings,13,4,3.250,4,1
Welcome to Sweden,1.8,1,1.800,2,0
Westworld,2.5,1,2.500,2,1
When Calls the Heart,11,4,2.750,4,1
Whose Line Is It Anyway,43,10,4.300,13,1
Workaholics,15,7,2.142,7,0
Young Justice,4.4,2,2.200,2,0
